ingredient,calories,carbs,fiber,sugar,protein,total fat,trans fats,saturated fats,sodium,cholesterol,CO2 Emission
2 teaspoons Aleppo pepper or 1/2 teaspoon crushed red pepper flakes,4,1.0776250000546586,0.4424583333557753,0.6336250000321382,0.1634166666749553,0.0895708333378764,0.0,0.0125337500006357,1.4029166667378243,0.0,A+
3 tablespoons tahini paste,267,9.54,4.1850000000000005,0.2205,7.65,24.21,0.0,3.3885,51.75,0.0,A+
24 thin ginger-flavored scalloped cookies ,1873,223.488,0.0,0.0,21.888,109.056,0.0,54.144,1309.44,268.8,B
Maldon sea salt or coarse kosher salt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 cup golden raisins,436,116.0,4.784999999999999,95.265,4.755999999999999,0.29,0.0,0.09425,34.8,0.0,B
1⁄2 teaspoon Maraska maraschino liqueur,8,0.9338000000473632,0.0,0.9338000000473632,0.002900000000147,0.0087000000004412,0.0,0.0030740000001559,0.2320000000117672,0.0,A+
12 metal skewers,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1/2 cup chilled buttermilk plus more for glaze,49,5.867750000000001,0.0,6.566000000000001,4.05475,1.31075,0.0,0.8085000000000001,181.3,4.9,C
"2 cups cooked quinoa, preferabbly black, plus extra for sprinkling",444,78.81,10.36,3.2190000000000003,16.28,7.104,0.0,0.8547000000000001,25.9,0.0,B
"1/2 cup whole almonds with skin, coarsely chopped",412,14.490000000000002,7.521000000000001,3.3534000000000006,14.490000000000002,36.225,0.00483,2.8221000000000003,161.46,0.0,A+
"1 red onion, thickly sliced",50,11.675,2.125,5.300000000000001,1.375,0.125,0.0,0.0525,5.0,0.0,A
2 lb. sausages,2612,8.436818082000002,0.0,8.436818082000002,139.70644996,224.98181552000003,0.9162565874000002,68.673884818,6704.095228600001,635.0293180000001,E
12 ounces dried chickpeas,1285,214.322394825,41.503701855,36.4007876925,69.7398268875,20.547734361,0.0,2.051371493325,81.6466266,0.0,A
"1/4 cup applejack, apple brandy, or bourbon",129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,A
"8 garlic cloves, minced, divided",35,7.944,0.504,0.24,1.5264,0.12,0.0,0.0213599999999999,4.08,0.0,A+
1/2 head frisée,6,1.41,1.2,0.21,0.51,0.09,0.0,0.0219,13.5,0.0,A+
"4 slices applewood-smoked bacon, cut crosswise into 1-inch pieces",455,0.0,0.0,0.4059999999999999,15.891999999999998,43.036,0.1705199999999999,14.615999999999998,871.16,76.55999999999999,D
1 boneless leg of lamb,6627,0.0,0.0,0.0,586.635,456.624,0.0,196.9191,1807.47,2156.28,G
"6 tbsp extra-virgin olive oil, divided",716,0.0,0.0,0.0,0.0,81.0,0.0,11.178,1.62,0.0,B
3 tablespoons coarsely chopped peeled ginger,14,3.204,0.36,0.306,0.3276,0.135,0.0,0.03654,2.34,0.0,A+
"16 ounces dark chocolate, chopped",2712,208.19889783,49.44156833000001,108.8621688,35.33484562300001,193.23034962000003,0.136077711,111.13013065,90.718474,13.6077711,F
200 milliliters grapefruit juice,81,19.225300747359853,0.2089706602973897,19.016330087062464,1.0448533014869483,0.2089706602973897,0.0,0.0292558924416345,2.089706602973897,0.0,A
"4 cups peeled, cored, and evenly chopped Granny Smith apples ",252,59.296,12.208,41.8124,1.9184,0.8284,0.0,0.0,4.36,0.0,B
2 cups pitted black cherries ,194,49.28,6.468000000000001,39.42400000000001,3.2648,0.6160000000000001,0.0,0.11704,0.0,0.0,C
Gummy spiders,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 cup freshly grated sharp or extra-sharp white Cheddar cheese,531,4.4484,0.0,0.6336,30.228,43.956,0.0,24.948,861.96,130.68,E
"6 portabella mushrooms , stems discarded",110,19.5048,6.5520000000000005,12.6,10.6344,1.7639999999999998,0.0,0.0504,45.36,0.0,B
1 teaspoon finely minced fresh thyme ,0,0.1951999999999999,0.112,0.0,0.04448,0.01344,0.0,0.003736,0.072,0.0,A+
Minced fresh Italian parsley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"2 tablespoons unsalted butter, room temperature",203,0.0170399999999999,0.0,0.0170399999999999,0.2413999999999999,23.032399999999996,0.0,14.342,3.1239999999999997,61.059999999999995,D
"2 cups plus 3 tablespoons all-purpose flour, divided",995,208.6328125,7.3828125,0.73828125,28.1640625,2.6796875,0.0,0.423828125,5.46875,0.0,B
Small red candies,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 tablespoon sweet Hungarian paprika,19,3.672,2.3732,0.7004000000000001,0.9588,0.8772000000000001,0.0,0.14552,4.6240000000000006,0.0,A
2 tablespoons raw honey,127,34.608000000000004,0.084,34.482,0.126,0.0,0.0,0.0,1.68,0.0,A
6 tablespoons shredded Parmesan cheese ,218,1.7956279687500003,0.0,0.061341328125,19.9638140625,13.9412109375,0.0,8.253196875,658.02515625,37.92009375,E
Fresh thyme leaves,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"6 tablespoons butter,melted, divided",610,0.0511199999999999,0.0,0.0511199999999999,0.7241999999999998,69.09719999999999,0.0,43.026,9.371999999999998,183.18,D
1/4 cup toasted pepitas ,180,3.45075,1.935,0.4514999999999999,9.7395,15.8025,0.02064,2.79285,2.2575000000000003,0.0,A+
1 pound pasta,1682,338.83350039000004,14.514955840000002,12.110916279,58.96700810000001,6.849244787000001,0.0,1.2564508649000004,27.2155422,0.0,B
3 cups chicken stock or reduced-sodium chicken broth,259,25.416,0.0,11.376,18.144,8.64,0.0,2.3112,1029.6,21.6,G
1/2 cup dry Sherry,78,6.0255,0.0,0.56135,0.103,0.0,0.0,0.0,4.635,0.0,A
and celery stalks ,5,1.1880000000000002,0.6400000000000001,0.536,0.2759999999999999,0.068,0.0,0.0168,32.0,0.0,A+
4 teaspoons red wine vinegar,3,0.054,0.0,0.0,0.008,0.0,0.0,0.0,1.6,0.0,A
unsweetened blueberries,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Accompaniment: coffee ice cream,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3 tablespoons Asian fish sauce ,18,1.9656,0.0,1.9656,2.7324,0.0054,0.0,0.00162,4239.0,0.0,D
Tarragon and parsley leaves ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3 tablespoons kosher salt plus more,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16950.749999713415,0.0,A+
8 whole cloves,3,0.786,0.4068,0.02856,0.07164,0.156,0.003048,0.0474,3.3240000000000003,0.0,A+
4 curry leaves,2,0.4488,0.1536,0.0,0.1464,0.00024,0.0,0.0,0.0,0.0,0
1 small whole onion,28,6.538,1.1900000000000002,2.9680000000000004,0.7700000000000001,0.07,0.0,0.0294,2.8000000000000003,0.0,A+
"1 large egg, beaten",71,0.36,0.0,0.185,6.3,4.755,0.019,1.565,71.0,186.0,B
2 tablespoons crème fraîche,55,1.2964,0.0,0.9548,0.6832,5.432,0.22288,2.8280000000000003,8.680000000000001,16.520000000000003,D
Ingredient info: Lardo is cured fatback,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1/4 cup gold or silver tequila,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,A
"3/4 cup pecans, toasted, chopped",513,10.32075,7.128,2.947725,6.808725000000001,53.46,0.0,4.58865,0.0,0.0,A+
1 cup white wine,192,6.1152,0.0,2.25792,0.16464,0.0,0.0,0.0,11.76,0.0,C
2 cups thinly sliced shallots ,230,53.76000000090893,10.24000000017313,25.184000000425787,8.000000000135257,0.3200000000054103,0.0,0.0544000000009197,38.40000000064923,0.0,B
2 teaspoons minced thyme ,1,0.3903999999999999,0.224,0.0,0.08896,0.02688,0.0,0.007472,0.144,0.0,A+
"Kosher salt, freshly ground black pepper",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6 large skinless boneless chicken thighs ,3198,3.61875,0.0,0.0,238.8375,240.28500000000005,1.230375,65.42699999999999,1172.475,1418.55,F
"4 15-ounce cans creamy beans , not drained ",1939,360.60593415,81.64662659999999,4.932817023749999,123.4905227325,4.932817023749999,0.0,1.2587188267499998,5783.3027175,0.0,C
"3 scallions, cut into 2 1/2-inch pieces ",13,3.058333333333334,1.0833333333333337,0.9708333333333335,0.7625000000000002,0.0791666666666666,0.0,0.0133333333333333,6.666666666666668,0.0,A+
2 cups chopped fresh tomatoes,53,11.5922,3.576,7.8374,2.6224,0.596,0.0,0.08344,14.9,0.0,D
3/4 pound lean ground lamb,959,0.0,0.0,0.0,56.47225006500001,79.605460935,0.0,34.699816305,200.714623725,248.341822575,G
1/2 teaspoon finely grated fresh lemon zest,0,0.16,0.106,0.0417,0.015,0.003,0.0,0.00039,0.06,0.0,A+
1 cup low-sodium chicken or vegetable broth,2,0.3411972917899999,0.09590110768,0.12140082353,0.06887695063,0.08550720217,0.0,0.01247268752,35.937138395,0.0,A
1 piece of cinnamon stick,6,2.0956,1.3806,0.05642,0.10374,0.03224,0.0,0.00897,0.26,0.0,A+
"2 bell peppers , seeded, sliced",61,14.3514,4.998,9.996,2.3562,0.714,0.0,0.14042,9.52,0.0,C
"1 well-trimmed 6-pound boneless leg of lamb, butterflied to even 2-inch thickness",6627,0.0,0.0,0.0,586.635,456.624,0.0,196.9191,1807.47,2156.28,G
green beans,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3 Tbsp. plus 1/4 cup extra-virgin olive oil,835,0.0,0.0,0.0,0.0,94.5,0.0,13.041,1.89,0.0,B
trimmed to 6-inch length,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2 large Asian eggplants ,342,80.55600000000001,41.1,48.361,13.426,2.466,0.0,0.4658,27.4,0.0,D
Hardwood chips or chunks,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"4 large red plums, cut into thin wedges",121,30.096000000000004,3.696,26.1888,1.848,0.7392000000000001,0.0,0.04488,0.0,0.0,B
600 grams fresh berries ,342,87.0,14.4,59.760000000000005,4.4399999999999995,1.98,0.0,0.168,6.0,0.0,D
8 ounces whole-wheat bow-tie pasta,841,169.41675019500002,7.257477920000001,6.055458139500001,29.483504050000004,3.4246223935000004,0.0,0.6282254324500002,13.6077711,0.0,B
1/2 tablespoon fresh ginger,2,0.534,0.06,0.051,0.0546,0.0225,0.0,0.00609,0.39,0.0,A+
1/4 teaspoon curry powder,1,0.2789999999999999,0.266,0.0138,0.0715,0.07,0.0,0.00825,0.26,0.0,A+
6 small triangles thinly sliced watermelon,386,97.1685,5.148000000000001,79.79400000000001,7.850700000000001,1.9305,0.0,0.20592,12.87,0.0,E
"2 tbsp honey, plus extra for glazing",127,34.608000000000004,0.084,34.482,0.126,0.0,0.0,0.0,1.68,0.0,A
1/3 cup chopped shallots ,38,8.960000000151487,1.7066666666955213,4.1973333334042975,1.333333333355876,0.053333333334235,0.0,0.0090666666668199,6.400000000108204,0.0,A+
1 Tbsp. sriracha,1,0.2519999999829577,0.0431999999970784,0.1814399999877295,0.0734399999950334,0.0532799999963967,0.0,0.0074879999994936,380.1599999742905,0.0,A
3 bacon slices,341,0.0,0.0,0.3045,11.919,32.277,0.12789,10.962,653.37,57.42,D
"7 each of grapefruits, navel oranges, tangerines, and clementines",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 tablespoon chipotle chile from a can of chipotle chiles en adobo,1,0.4335,0.1105,0.2822,0.0765,0.0085,0.0,0.00085,99.45,0.0,A+
4 red onions,200,46.7,8.5,21.200000000000003,5.5,0.5,0.0,0.21,20.0,0.0,B
3 tablespoons unsweetened cocoa powder ,36,9.3798,5.9940000000000015,0.2835000000000001,3.1752000000000007,2.2194000000000003,0.0,1.3073400000000004,3.4020000000000006,0.0,D
1 teaspoon pure vanilla extract,12,0.5292,0.0,0.5292,0.00252,0.00252,0.0,0.00042,0.378,0.0,C
1 bottle Perrier-Jouët Grand Brut champagne,611,19.385579215600004,0.0,7.157752325760001,0.52191944042,0.0,0.0,0.0,37.279960030000005,0.0,E
1 tablespoon finely grated peeled ginger,4,1.068,0.12,0.102,0.1092,0.045,0.0,0.01218,0.78,0.0,A+
"1/2 small English hothouse cucumber, finely chopped",13,3.2307,0.445,1.4863,0.5785,0.0979,0.0,0.03293,1.78,0.0,A+
"12 pecan halves, toasted ",124,2.502,1.728,0.7146,1.6505999999999998,12.96,0.0,1.1123999999999998,0.0,0.0,A+
1/2 cup picked dill with tender stems,1,0.31239,0.09345,0.0,0.15397,0.04984,0.0,0.00267,2.7145,0.0,A+
2 cups freshly shucked black-eyed peas or one 11-ounce container shucked fresh black-eyed peas,261,54.52,14.5,8.7,8.555,1.015,0.0,0.261,11.6,0.0,B
1/4 cup parmesan cheese,145,1.1970853125000005,0.0,0.04089421875,13.309209375,9.294140625,0.0,5.502131250000001,438.6834375,25.280062500000003,D
"1 cup loosely packed flat-leaf parsley leaves, plus extra chopped for garnish",21,3.798,1.98,0.51,1.782,0.474,0.0,0.0792,33.6,0.0,A+
8 large sprigs basil,4,0.53,0.32,0.06,0.63,0.128,0.0,0.0082,0.8,0.0,A+
"1/4 cup frozen Concord grape juice concentrate, thawed",35,9.125,0.0625,8.8125,0.0,0.0,0.0,0.0,5.625,0.0,A
2 Tbsp. toasted sesame oil,240,0.0,0.0,0.0,0.0,27.200000000000003,0.0,3.8624,0.0,0.0,A
2 pounds all-purpose flour,3302,692.18195662,24.493987980000004,2.4493987980000003,93.44002822000002,8.890410452000001,0.0,1.406136347,18.1436948,0.0,C
5 tablespoons whipping cream,219,2.22,0.0,2.22,1.6275,23.174999999999997,0.0,14.475,25.5,83.25,E
Yuzu or lime wedges ,2,0.6524000000000001,0.196,0.175,0.077,0.021,0.0,0.00273,0.14,0.0,A+
3 tablespoons lemon juice,10,3.15675,0.13725,1.1529,0.160125,0.1098,0.0,0.0183,0.4575,0.0,A+
1/4 cup Armagnac,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,A
8 ounces baby spinach leaves ,52,8.2327015155,4.989516070000001,0.952543977,6.486370891000001,0.8845051215000002,0.0,0.14288159655,179.16898615000002,0.0,A
*Be sure to use white rice flour; brown will result in gritty muffins.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hot chili sesame oil and grated Pecorino ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2 cups low-salt chicken broth or vegetable broth,76,5.76,0.0,0.624,9.6,2.88,0.0,0.8592,144.0,0.0,F
"1 jalapeño, with seeds, finely chopped",4,0.91,0.392,0.5768000000000001,0.1274,0.0518,0.0,0.01288,0.42,0.0,A
"1/2 pound long beans or green beans, cut into 1-inch pieces",70,15.807694094500002,6.123496995000001,7.393555631000001,4.150370185500001,0.4989516070000001,0.0,0.1133980925,13.6077711,0.0,A
½ cup unsalted butter,813,0.0681,0.0,0.0681,0.96475,92.0485,0.0,57.3175,12.485,244.025,E
"1 small yellow onion, chopped, divided",28,6.538,1.1900000000000002,2.9680000000000004,0.7700000000000001,0.07,0.0,0.0294,2.8000000000000003,0.0,A+
1/2 cup peperoncini ,12,2.73,0.8400000000000001,0.0,0.56,0.21,0.0,0.0315,959.0,0.0,A
1/2 teaspoon allspice berries,2,0.68495,0.2052,0.0,0.057855,0.0825549999999999,0.0,0.0242249999999999,0.7314999999999999,0.0,A+
"4 tablespoons lard or vegetable oil, divided",495,0.0,0.0,0.0,0.0,56.00000000000001,0.42952,3.6456,0.0,0.0,B
"Kefir Farmer Cheese, crumbled",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"2 sticks unsalted butter, melted and cooled",1620,0.1356,0.0,0.1356,1.921,183.286,0.0,114.13,24.860000000000003,485.9,E
1/4 teaspoon finely ground black pepper,1,0.368,0.145475,0.00368,0.0598,0.0187449999999999,0.0,0.0079925,0.1149999999999999,0.0,A+
Sea salt flakes and freshly ground black pepper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Roasted Poblano and Caper Salsa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stand mixer fitted with the paddle attachment and dough hook,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
thinly sliced radish,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 oil-packed anchovy fillet,8,0.0,0.0,0.0,1.156,0.3884,0.0,0.088,146.8,3.4,A
1¼ cups all-purpose flour,568,119.21875,4.21875,0.421875,16.09375,1.53125,0.0,0.2421875,3.125,0.0,A
¼ teaspoon ground cloves,1,0.343875,0.177975,0.012495,0.0313425,0.06825,0.0013335,0.0207375,1.45425,0.0,A+
3 cups thinly sliced romaine ,23,4.6389,2.961,1.6778999999999995,1.7343,0.423,0.0,0.05499,11.28,0.0,A
"1/4 bunch cilantro, leaves and stems separated, stems finely chopped",2,0.367,0.2799999999999999,0.087,0.213,0.052,0.0,0.0014,4.6000000000000005,0.0,A+
1/3 cup old-fashioned oats,98,18.186666666666667,2.506666666666667,0.3786666666666666,3.653333333333333,1.832,0.0,0.296,0.8,0.0,A+
"9 sprigs thyme, divided",27,6.588,3.78,0.0,1.5012,0.4536,0.0,0.12609,2.43,0.0,A+
